code,display_names,board_positions
"(C)SC11 145G","(C)SC11 145G","F14"
"007","Cole 007","D2"
"0089","Cole 0089","E2"
"01041J","Ilco 01041J","C3"
"01122B","Ilco 01122B","I12"
"01122BE","Ilco 01122BE","A1"
"01122BR","Ilco 01122BR","A2 A24"
"01122C","Ilco 01122C","A3"
"01122CE","Ilco 01122CE","B28"
"01D1","01D1","A77"
"01JB","01JB","J55"
"0IJB","0IJB","J55"
"10-04","Ilco 10-04","G90"
"1000KC","1000KC","D3"
"100AM","Ilco 100AM","C25"
"1011-L4","Ilco 1011-L4","E83"
"1014D","Ilco 1014D","A5"
"1023","Ilco 1023","E10"
"1036S","Ilco 1036S","G78"
"103AM","Ilco 103AM","C23"
"1041CE","Ilco 1041CE","J54"
"1041E","Ilco 1041E","E9"
"1041TR","1041TR","J82"
"104AM","Ilco 104AM","C24"
"1054F","Ilco 1054F","H5"
"1069B","Ilco 1069B","A4 A6"
"1081C","1081C","B10"
"1092D","Ilco 1092D","E70"
"1092F","Ilco 1092F","B30"
"1092NR","Ilco 1092NR","A19"
"1098JD","Ilco 1098JD","A7"
"1120D","Ilco 1120D","F17"
"1123","Ilco 1123","G16"
"1145CE","Ilco 1145CE","A9"
"1145FG","Ilco 1145FG","A8 B5"
"1225PL","Ilco 1225PL","H4"
"1347","Schlage 1347","B4"
"1365L","Ilco 1365L","B25"
"1365V","1365V","B26"
"1502","Ilco 1502","H73"
"1503","1503","G83 G84 I27"
"1512","Ilco 1512","E27"
"1529","Ilco 1529","G30"
"1531","Ilco 1531","G26"
"1541","Ilco 1541","A10"
"1545R","Ilco 1545R","G28"
"15558","Ilco 15558","H21"
"1558","Ilco 1558","E85"
"1588","Ilco 1588","G46"
"1611","Ilco 1611","B65"
"1611R","Ilco 1611R","G23"
"1635K","Ilco 1635K","B23"
"1637","Ilco 1637","H22"
"1646","Ilco 1646","E89 G22 H23 H66"
"1646R","Ilco 1646R","E90 E91 J78"
"1649","Ilco 1649","G27"
"1660","Ilco 1660","G50"
"1661","Ilco 1661","I29"
"1663","Ilco 1663","B27 I30"
"1665","Ilco 1665","F24"
"1666","Ilco 1666","F25"
"1667","Ilco 1667","F26"
"1676","Ilco 1676","C29"
"1681","Ilco 1681 | 1681","H75 H91 H92"
"1A1F1","1A1F1","B2"
"36S","36S","G78"
"36U","36U","J58"
"41AC","41AC","B21"
"41E","41E","E72"
"48AR","Cole 48AR","J59"
"4IE","4IE","E72"
"54TW","Taylor 54TW","G7"
"62DU-P","62DU-P","F34"
"64D","64D","A29"
"69","69","I20"
"997JA","997JA","C71"
"A1001V2","Ilco A1001V2","J74"
"A1011B2","A1011B2","D16"
"A1011P","Ilco A1011P","D14"
"A1114A","Ilco A1114A","G79"
"A1114R","A1114R","B1"
"A1145CE","Ilco A1145CE","B3"
"A1145G","A1145G","B6"
"A1145K","Ilco A1145K","B7"
"A114F","A114F","B2"
"AB2","Cole AB2","B9"
"AB6-2-C","AB6-2-C","J53"
"AM1","Cole AM1","B10"
"AP1","Cole AP1 | AP1","B8 C21"
"AP2","AP2","C22"
"AP3","AP3","C23"
"AP4","AP4","C24"
"AP5","AP5","A74 C25"
"AR1","Cole AR1","C2 J75 J76 J77"
"AU8R","Cole AU8R","A31"
"B01","B01","C65 H24"
"B087","Curtis B087","C9"
"B1","Cole B1","C4 I64"
"B10","B10","C8"
"B102","B102","F32"
"B110","B110","J64"
"B110-P","B110-P","J64"
"B2","B2","C5 C6 I66 I67"
"B46J","Cole B46J","A32 G73"
"B46JR","Cole B46JR","A33"
"B47K","Cole B47K","A35 A36"
"B48A","Cole B48A | Curtis B48A","A34 B32 J60 J61 J62"
"B49B","Cole B49B","B34 E71"
"B49BR","Cole B49BR","H74"
"B5","B5 | Cole B5","B67 B70 C7"
"B50C","Cole B50C","B36"
"B52","B52","G21"
"B53","Cole B53","C31"
"B61","Curtis B61","C32"
"B63","Curtis B63","C33"
"B64","B64","C35"
"B64CR","Cole B64CR","D36"
"B68","Cole B68","C36 C37"
"B69C","B69C","D31"
"B72P","Curtis B72P","D32"
"B74","B74","D34"
"B74-P","B74-P","D34 D35"
"B78ER","Cole B78ER","E31"
"B827","Curtis B827","A38"
"B89","B89","E32"
"B91-P","B91-P","E33"
"B92","B92","E34"
"BA22","Cole BA22","F36"
"BA28","Curtis BA28","A39"
"BA31","Cole BA31","A41"
"BAU1","BAU1","C26"
"BAU1R","BAU1R","C27"
"BAU2","BAU2","C28"
"BAU3","BAU3","C29"
"BAU4-P","BAU4-P","B52 B53 D21 D52 D53 D54 D55 D56"
"BC-3","Curtis BC-3","A43"
"BE2","BE2","G79"
"BE3","Cole BE3","F4"
"BES17","BES17","B1"
"BIT LONGER THAN I17","bit longer than I17","I18"
"BRASS","brass","C6"
"BUE1","BUE1","C26"
"BUE1D","BUE1D","C27"
"BUE2","BUE2","C28"
"C006","Cole C006","D6"
"C009","Cole C009","D3"
"C010","Ilco C010","I25"
"C062","C062","D4"
"C065","Cole C065","D5"
"C066","Cole C066","D7"
"C067","Cole C067","D8"
"C068","C068","D9"
"C07","Cole C07","G74"
"C088","C088","C1"
"C10","C10","D1"
"C1041B","Ilco C1041B","F63"
"C1041J","Ilco C1041J","E1"
"C145","Schlage C145","J30"
"C345","Schlage C345","J21"
"CA22R","Cole CA22R","G31"
"CCL1D","CCL1D","D1"
"CG1","CG1","E4 F69 F70 F71"
"CG14","CG14","E6"
"CG16","Cole CG16","E8 G72"
"CG2","CG2","E5"
"CG22","CG22","E9"
"CG29","CG29","J82"
"CGLE","CGLE","F35"
"CH751","CH751","D22 E30"
"CHR-10P","CHR-10P","F48"
"CL1","CL1","E10"
"CLB2B","Cole CLB2B","F1"
"CLB4D","Cole CLB4D","F2"
"CO1-06","CO1-06","C63"
"CO106","CO106","I24"
"CO1O8","CO1O8","J74"
"CO35","CO35","E92"
"CR105","CR105","D18"
"CU8","Ilco CU8","F3"
"D01M","D01M","A29"
"DA21","DA21","F33"
"DA21A","DA21A","F35"
"DA23","DA23","G32"
"DA24","Cole DA24","G33"
"DA25","DA25","G34"
"DA25R","Cole DA25R","G35"
"DA26","Cole DA26","G36"
"DAE3","DAE3","G37"
"DAT12","DAT12","G34"
"DAT6RP","DAT6RP","F34"
"DC1","DC1","A42"
"DE8","DE8","F6"
"DEXTER","Dexter","B55"
"DL","DL","C52"
"DL707C","DL707C","D60"
"DM11","DM11","I70"
"DP1","DP1","G37"
"DX6D","DX6D","F6"
"EA27","EA27","F7"
"EL21","EL21","F8"
"ES9","ES9","G83 G84 I27"
"ESP3D","ESP3D","I26"
"F2","F2","B40"
"F3","F3","C44"
"F91C2","Ilco F91C2","G1"
"FA-3","Curtis FA-3","G4"
"FIC3","FIC3","D23 H75 H91 H92"
"FIC3-P","FIC3-P","D24 H71 H72"
"FLT1","FLT1","D79 G29"
"FO-15DP","FO-15DP","E43"
"FO23D","FO23D","D38"
"FO28D","FO28D","B43"
"FO9D","FO9D","C39"
"FORD","Ford","A40 J80"
"FP9-8J","FP9-8J","H89"
"FR1","Curtis FR1","G5"
"G391","G391","H29 H30 H70"
"GAS4D","GAS4D","I23"
"GM","GM","B33 B37"
"GM B48A","GM B48A","B31"
"GM B50C","GM B50C","B35"
"GM KEY","GM key","H74"
"GM32","GM32","C8"
"GM39","GM39","F32"
"GSA7","GSA7","I20"
"H064","Ilco H064","D42"
"H1098M","Ilco H1098M","C5 I66"
"H32","Cole H32 | H32","B38 B39 J81"
"H3D","H3D","A40"
"H50","H50","A40"
"H55","H55","B40"
"H56","H56","B41"
"H58","Curtis H58","B42"
"H59","H59","B43"
"H64","H64","C38 G9"
"H65","H65","C39"
"H66R","Cole H66R","B41"
"H67","H67","C41"
"H70","Cole H70","C40"
"H75P","H75P","E43"
"H76","H76","D38"
"H98M","H98M","I67"
"HD109","HD109","E42"
"HD82","HD82","E38"
"HD90","HD90","D39"
"HD91-P","HD91-P","E39"
"HD92","HD92","E40"
"HOND10","HOND10","D39"
"HOND12","HOND12","D44"
"HR1","Cole HR1 | HR1","D75 H1"
"HR2","Cole HR2","D76 D77 G3 H2"
"HU3","Ilco HU3","G6"
"HUD5B","HUD5B","C14"
"HY-10","HY-10","F41"
"HY-14","HY-14","F41"
"HY-3","Curtis HY-3","F38"
"HY-4","Curtis HY-4","F39"
"HY-5","HY-5","F43"
"HY-6","HY-6","F40"
"HY12","HY12","G38"
"HY16","HY16","G38"
"HY2","HY2","E44"
"HY4","HY4","D46"
"HY5","HY5","E41"
"HYD12","HYD12","J29"
"IN1","IN1","H5"
"IN28","IN28","E67 H8"
"IN29","Cole IN29","H9"
"IN3","Cole IN3","G65 G66 G67 G68 H6"
"IN33","IN33 | Curtis IN33","E63 E64 E65 E66 I1"
"IN34","Cole IN34","E74 I2"
"IN35","Cole IN35","I3"
"INCO 100AM","Inco 100AM","A74"
"JMA SC22","JMA SC22","F12"
"KB1","KB1","G27"
"KB3","KB3","B27 I30"
"KEY","Yale key","I15"
"KK2","Ilco KK2","G40"
"KOV Y5-3","Kov Y5-3","F45"
"KW1","KW1","J57 J71 J72"
"KWT","KWT","B64 G69"
"L1","Cole L1 | Curtis L1","D81 I8 I9"
"L1010N","L1010N","I20"
"L122A","L122A","I11"
"L4","L4 | Cole L4","D19 I10"
"L41","L41","D18"
"L6S","Ilco L6S","J73"
"LB","Ilco LB","I17 I18"
"LC","Ilco LC","I19"
"LD1","LD1","D25 H25 J1"
"LD2","LD2","D26"
"LF12","Ilco LF12","D57 J3"
"LF25","Ilco LF25","J2"
"LF5","Ilco LF5","B75"
"LJ","Ilco LJ","J12"
"LONGER THAN J14","longer than J14","J15"
"LRD1D","LRD1D","H25 J1"
"M1","M1","B73"
"M10","M10","A15"
"M1069C","M1069C","A78"
"M11","Cole M11 | M11","A16 H87"
"M12","M12","E70"
"M13","Cole M13","A18"
"M16","M16","A19"
"M2","Curtis M2","J5"
"M27","M27","B30"
"M3","Cole M3","A14 B74 J7"
"M696","M696","C17"
"M69C","M69C","A78"
"MB41","MB41","G41"
"MD1-7","MD1-7","C67"
"MD17","Cole MD17","B12 B78"
"MIT1R","MIT1R","G42"
"MOSTLY B74-P","mostly B74-P","D34"
"MR2","Ilco MR2","G24"
"MZ","MZ","G87 G88 G89"
"MZ13","MZ13","D62"
"MZ15","Cole MZ15","G43"
"MZ9-P","Ilco MZ9-P","A46"
"MZ9R","Cole MZ9R","A47"
"N11","N11","H88"
"NA12","NA12","G85 G86 H85 H86 J23"
"NA24","NA24","J26"
"NA5","Cole NA5","B13 J70"
"NA6","Cole NA6","B14"
"NE30","NE30","F62"
"NH1","Cole NH1","B15"
"NICKEL","nickel","C5"
"OIJB","OIJB","J55"
"ONE NORMAL B74 ALSO PRESENT","one normal B74 also present","D34"
"P1109","Ilco P1109","E34"
"PA1","Cole PA1","B16"
"PA2","Cole PA2","B17"
"PINK SCA1","Pink SCA1","E69"
"PS27F1","PS27F1","C44"
"PS27F2","PS27F2","B40"
"PS27F3 AND F1","PS27F3 AND F1","C44"
"PU2","Ilco PU2","B18"
